pop,sample,potcformo,potcjap
POTCF,SRR25249025,1,2.1300313986966253e-308
POTCF,SRR25249026,1,2.1300313986966253e-308
CJPOT,SRR25249027,2.1300313986966253e-308,1
POTCF,SRR25249028,1,2.1300313986966253e-308
CJPOT,SRR25249029,1,2.1300313986966253e-308
POTCF,SRR25249030,1,2.1300313986966253e-308
CJPOT,SRR25249031,2.1300313986966253e-308,1
CJPOT,SRR25249032,2.1300313986966253e-308,1
CJPOT,SRR25249033,2.1300313986966253e-308,1
POTCF,SRR25249034,1,2.1300313986966253e-308
CJPOT,SRR25249035,2.1300313986966253e-308,1
POTCF,SRR25249036,1,2.1300313986966253e-308
POTCF,SRR25249037,1,2.1300313986966253e-308
POTCF,SRR25249038,1,2.1300313986966253e-308
CJPOT,SRR25249039,1,2.1300313986966253e-308
CJPOT,SRR25249040,2.1300313986966253e-308,1
CJPOT,SRR25249041,2.1300313986966253e-308,1
CJPOT,SRR25249042,2.1300313986966253e-308,1
CJPOT,SRR25249043,2.1300313986966253e-308,1
