sample,group,potcformo,potcjap
SRR22822833,TWN,0.99999,1e-5
SRR22822835,TWN,0.99999,1e-5
SRR22822837,TWN,0.99999,1e-5
SRR22822842,TWN,0.99999,1e-5
SRR22822849,TWN,0.99999,1e-5
SRR22822852,TWN,0.99999,1e-5
SRR22822860,TWN,0.99999,1e-5
SRR22822862,TWN,0.99999,1e-5
SRR25249025,POTCF,0.99999,1e-5
SRR25249026,POTCF,0.99999,1e-5
SRR25249027,CJPOT,1e-5,0.99999
SRR25249028,POTCF,0.99999,1e-5
SRR25249029,CJPOT,0.99999,1e-5
SRR25249030,POTCF,0.99999,1e-5
SRR25249031,CJPOT,0.040693,0.959307
SRR25249033,CJPOT,1e-5,0.99999
SRR25249034,POTCF,0.99999,1e-5
SRR25249036,POTCF,0.99999,1e-5
SRR25249037,POTCF,0.99999,1e-5
SRR25249038,POTCF,0.99999,1e-5
SRR25249040,CJPOT,1e-5,0.99999
SRR25249041,CJPOT,1e-5,0.99999
SRR25249042,CJPOT,1e-5,0.99999
SRR25249043,CJPOT,1e-5,0.99999
